feature	gene_symbol1	gene_symbol2	grouping	score
actin_eccentricity	8RYs	DLtY	non_sig	0.686778085725949
actin_eccentricity	mnRR	YPTu	non_sig	-0.002830301693002434
actin_eccentricity	u85l	aqSY	non_sig	0.44474327569561406
actin_eccentricity	UpQL	ab8y	non_sig	0.3949087419117364
actin_eccentricity	4wC4	6LJZ	non_sig	-0.34431438470031733
actin_eccentricity	7S4Y	rrDu	non_sig	-0.6128662694561292
actin_eccentricity	3cDF	Zi4G	non_sig	1.2688663303392618
actin_eccentricity	24om	6oQp	non_sig	0.21918560580081858
actin_eccentricity	Xz0T	WqTa	non_sig	0.9121742442976136
actin_eccentricity	zzUw	kkbR	non_sig	-0.023015092582438276
actin_eccentricity	myTL	yxEl	non_sig	0.3046914659138667
actin_eccentricity	vXGY	ygru	non_sig	-0.115000281658432
actin_eccentricity	TcNT	A4OG	non_sig	-0.018055041962349104
actin_eccentricity	kZt7	Gtml	non_sig	0.19152345551004324
actin_eccentricity	LXmv	Fyyc	non_sig	-0.6612745804126634
actin_eccentricity	BhXO	GxjZ	non_sig	-1.5180293221361247
actin_eccentricity	IR4Y	R3xj	non_sig	-0.4882824514044616
actin_eccentricity	ElYa	jQhS	non_sig	0.5285228928822815
actin_eccentricity	lSEF	uZTv	non_sig	-0.01567900428759388
actin_eccentricity	IhdK	vdAA	non_sig	0.9640006729159324
actin_eccentricity	rtPW	WidE	non_sig	0.0019899459194472066
actin_eccentricity	6AVm	7J0v	non_sig	-0.8202709905333309
actin_eccentricity	dp3c	2XuQ	non_sig	0.1616268631290499
actin_eccentricity	DbBQ	Y8ks	non_sig	2.9311124010053287
actin_eccentricity	ZEdY	P9pH	non_sig	-0.06650489190555334
actin_eccentricity	4hWk	OYiE	non_sig	0.1318597591056519
actin_eccentricity	AjSl	d3Lo	non_sig	0.4991678808600392
actin_eccentricity	nPv2	0acy	non_sig	-0.613942206805906
actin_eccentricity	7BK5	sYYu	non_sig	0.0973086223184345
actin_eccentricity	RD5g	Qd93	non_sig	0.22914642029738416
actin_eccentricity	xoC6	r2Tb	non_sig	-0.10011224765764368
actin_eccentricity	nZV6	aMLh	non_sig	0.5980828345011656
actin_eccentricity	xos8	9pxi	non_sig	-0.3698613277584845
actin_eccentricity	KTI5	Z0gO	non_sig	-0.33972125889701893
actin_eccentricity	eK9J	c50G	non_sig	-0.04785080697394039
actin_eccentricity	4DyR	RuLC	non_sig	-0.4322361036245446
actin_eccentricity	MhO2	FxMj	non_sig	-0.02673553805357149
actin_eccentricity	rfVT	I5rm	non_sig	-0.40100251918335034
actin_eccentricity	G7ER	8wwx	non_sig	-0.10858702036039984
actin_eccentricity	rBO0	UkVa	non_sig	-0.3420921021115189
actin_eccentricity	OLfS	EVlq	non_sig	-1.0588452191772966
actin_eccentricity	rb1T	XSNA	non_sig	-0.11311430269931574
actin_eccentricity	DJJm	Bhdy	non_sig	1.326689629240231
actin_eccentricity	MxYV	GYmX	non_sig	-0.19928739640712953
actin_eccentricity	BMQH	SP1t	non_sig	-0.29282104598433717
actin_eccentricity	rzTa	yIYp	non_sig	-1.0691985610345462
actin_eccentricity	RpV3	sZkS	non_sig	-0.09958203591823779
actin_eccentricity	ihzE	x8NZ	non_sig	-1.041547022455142
actin_eccentricity	osCM	MYmB	non_sig	-1.448536966474127
actin_eccentricity	b7z4	qYrr	non_sig	-0.24063629524038124
actin_eccentricity	KkTZ	Q7O7	non_sig	0.6332757789074848
actin_eccentricity	H1CC	lB66	non_sig	-1.131893515202042
actin_eccentricity	MaD1	gT9U	non_sig	-0.23975906768854605
actin_eccentricity	oSv3	zpQ1	non_sig	-0.3767499132443777
actin_eccentricity	gXaQ	STnk	non_sig	0.22650273638891233
actin_eccentricity	9jHF	K4V0	non_sig	0.2687386644482165
actin_eccentricity	71j0	hTbZ	non_sig	-1.5500574768694397
actin_eccentricity	JLWi	c02l	non_sig	-1.0830647743914648
actin_eccentricity	Tt8E	XOij	non_sig	0.2612805551909962
actin_eccentricity	Xhts	OtAV	non_sig	-0.577180525435297
actin_eccentricity	rPvp	Oyd6	non_sig	-0.5085855999916561
actin_eccentricity	9kZe	PKJW	non_sig	-0.29159808327980324
actin_eccentricity	mPA5	s4aU	non_sig	-0.08679087172145425
actin_eccentricity	zo38	kkwK	non_sig	0.569319496621676
actin_eccentricity	TETv	IVP9	non_sig	1.3315575586963515
